received_utc,source_ip,raw_message,anomaly_type,reason
2025-12-14T17:46:25.494847+00:00,10.135.95.5,TEST_FROM_LAPTOP,NON_HB,Not a heartbeat message
2025-12-14T18:49:09.657613+00:00,192.168.43.169,"HB,38,380000",SEQ_GAP,Sequence jumped by 22 (possible missed heartbeats)
2025-12-14T19:07:41.645474+00:00,192.168.43.169,"HB,149,1490000",SEQ_GAP,Sequence jumped by 84 (possible missed heartbeats)
2025-12-14T19:10:45.931793+00:00,192.168.43.169,"HB,17,170000",SEQ_GAP,Sequence jumped by 2 (possible missed heartbeats)
20251214T193125Z_22b4a6b1,2025-12-14T19:32:37.787990+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:32:47.586866+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:32:57.609364+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:33:07.656879+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:33:17.609521+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:33:27.631948+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:33:37.659964+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:33:59.683418+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:34:09.608002+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:34:19.439466+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:34:29.373152+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:34:39.405743+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:34:49.645241+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:34:59.408135+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:35:09.510768+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:35:19.546232+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:35:29.582483+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
