source_ip,received_utc,seq,uptime_ms,delta_seconds,seq_delta,uptime_delta_ms
192.168.43.169,2025-12-14T18:43:09.125258+00:00,2,20000,9.601739,1,10000
192.168.43.169,2025-12-14T18:43:19.147017+00:00,3,30000,10.021759,1,10000
192.168.43.169,2025-12-14T18:43:29.413782+00:00,4,40000,10.266765,1,10000
192.168.43.169,2025-12-14T18:43:39.230123+00:00,5,50000,9.816341,1,10000
192.168.43.169,2025-12-14T18:43:49.266182+00:00,6,60000,10.036059,1,10000
192.168.43.169,2025-12-14T18:43:59.189906+00:00,7,70000,9.923724,1,10000
192.168.43.169,2025-12-14T18:44:09.234205+00:00,8,80000,10.044299,1,10000
192.168.43.169,2025-12-14T18:44:19.267976+00:00,9,90000,10.033771,1,10000
192.168.43.169,2025-12-14T18:44:29.307157+00:00,10,100000,10.039181,1,10000
192.168.43.169,2025-12-14T18:44:39.226875+00:00,11,110000,9.919718,1,10000
192.168.43.169,2025-12-14T18:44:49.475462+00:00,12,120000,10.248587,1,10000
192.168.43.169,2025-12-14T18:44:59.305793+00:00,13,130000,9.830331,1,10000
192.168.43.169,2025-12-14T18:45:09.444228+00:00,14,140000,10.138435,1,10000
192.168.43.169,2025-12-14T18:45:19.275627+00:00,15,150000,9.831399,1,10000
192.168.43.169,2025-12-14T18:45:29.308436+00:00,16,160000,10.032809,1,10000
192.168.43.169,2025-12-14T18:49:09.657613+00:00,38,380000,220.349177,22,220000
192.168.43.169,2025-12-14T18:49:19.706096+00:00,39,390000,10.048483,1,10000
192.168.43.169,2025-12-14T18:49:29.739882+00:00,40,400000,10.033786,1,10000
192.168.43.169,2025-12-14T18:49:39.737030+00:00,41,410000,9.997148,1,10000
192.168.43.169,2025-12-14T18:49:49.711586+00:00,42,420000,9.974556,1,10000
192.168.43.169,2025-12-14T18:49:59.744054+00:00,43,430000,10.032468,1,10000
192.168.43.169,2025-12-14T18:50:09.780779+00:00,44,440000,10.036725,1,10000
192.168.43.169,2025-12-14T18:50:19.812469+00:00,45,450000,10.03169,1,10000
192.168.43.169,2025-12-14T18:50:29.847632+00:00,46,460000,10.035163,1,10000
192.168.43.169,2025-12-14T18:50:39.780862+00:00,47,470000,9.93323,1,10000
